;cidade;codigo_municipio;codigo_orgao;nome_orgao;ano;1;2;3;4;5;6;7;8;9;10;11;12
95;Anápolis;11;10;ANAPOLIS - FUNDO MUN. DE CIENCIA E TECNOLOGIA;2023;1;1;1;1;1;0;0;0;0;0;0;0
96;Anápolis;11;9;ANAPOLIS - FUNDO MUNICIPAL DE EDUCACAO;2023;1;1;1;1;1;0;0;0;0;0;0;0
97;Anápolis;11;4;ANAPOLIS - ISSA;2023;1;1;1;1;1;0;0;0;0;0;0;0
98;Anápolis;11;18;ANAPOLIS - PAVIANA;2023;1;1;1;1;1;1;1;1;1;1;1;1
99;Anápolis;11;21;ARM - AGENCIA REGULADORA DO MUNICIPIO DE ANAPOLIS;2023;1;1;1;1;1;0;0;0;0;0;0;0
100;Anápolis;11;5;COMPANHIA MUN. E TRANSITO E TRANSPORTES - CMTT;2023;1;1;1;1;1;0;0;0;0;0;0;0
101;Anápolis;11;19;FIA;2023;1;1;1;1;1;0;0;0;0;0;0;0
102;Anápolis;11;14;FMAS;2023;1;1;1;1;1;0;0;0;0;0;0;0
103;Anápolis;11;20;FMC;2023;1;1;1;1;1;0;0;0;0;0;0;0
104;Anápolis;11;22;FMDPI - FUNDO MUN DOS DIREITOS DA PESSOA IDOSA;2023;1;1;1;1;1;0;0;0;0;0;0;0
105;Anápolis;11;23;FMPPSD - FUN MUNIC DE POLIT PUBL SOBRE DROGAS;2023;1;1;1;1;1;0;0;0;0;0;0;0
106;Anápolis;11;6;FMS;2023;1;1;1;1;1;0;0;0;0;0;0;0
107;Anápolis;11;3;FUNDEF/FUNDEB;2023;1;1;1;1;1;0;0;0;0;0;0;0
108;Anápolis;11;2;PODER EXECUTIVO;2023;1;1;1;1;1;0;0;0;0;0;0;0
109;Anápolis;11;1;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
110;Itarumã;124;8;FMAS;2023;1;1;1;1;0;0;0;0;0;0;0;0
111;Itarumã;124;11;FME;2023;1;1;1;1;0;0;0;0;0;0;0;0
112;Itarumã;124;10;FMMA;2023;1;1;1;1;0;0;0;0;0;0;0;0
113;Itarumã;124;7;FMS;2023;1;1;1;1;0;0;0;0;0;0;0;0
114;Itarumã;124;4;FUNDEF/FUNDEB;2023;1;1;1;1;0;0;0;0;0;0;0;0
115;Itarumã;124;5;IPASI - INST.DE PREV.E ASSISTENCIA SOCIAL DE ITARU;2023;1;1;1;1;1;1;1;1;1;1;1;1
116;Itarumã;124;6;ITARUMA  - PREV;2023;1;1;1;1;0;0;0;0;0;0;0;0
117;Itarumã;124;9;ITARUMA - FMCA;2023;1;1;1;1;1;1;1;1;1;1;1;1
118;Itarumã;124;3;PODER EXECUTIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
119;Itarumã;124;1;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
120;Jataí;139;17;FEPJPEM DE JATAI;2023;1;1;1;1;1;0;0;0;0;0;0;0
121;Jataí;139;14;FMAS;2023;1;1;1;1;0;0;0;0;0;0;0;0
122;Jataí;139;6;FMS;2023;1;1;1;1;0;0;0;0;0;0;0;0
123;Jataí;139;18;FMSB - FUNDO MUNICIPAL DE SANEAMENTO BASICO;2023;1;1;1;1;0;0;0;0;0;0;0;0
